iter	Passed	Remaining
209	26587	125343
210	27167	127339
211	27357	127496
212	27606	127921
213	27769	127945
214	27927	127947
215	28199	128462
216	28321	128293
217	28436	128093
218	28540	127847
219	28758	128106
220	28891	127985
221	28998	127748
222	29110	127536
223	29264	127511
224	29395	127380
225	29549	127352
226	29723	127405
227	29840	127213
228	29960	127036
229	30082	126869
230	30185	126624
231	30307	126456
232	30429	126288
233	30547	126107
234	30661	125906
235	30774	125706
236	30869	125433
237	30967	125171
238	31075	124953
239	31184	124736
240	31291	124517
241	31411	124347
242	31778	125154
243	31904	125004
244	32014	124789
245	32130	124604
246	32242	124400
247	32338	124137
248	32456	123960
249	32568	123760
250	32661	123490
251	32756	123227
252	32900	123147
253	33031	123024
254	33118	122733
255	33218	122493
256	33304	122203
257	33404	121964
258	33499	121709
259	33608	121508
260	33736	121374
261	33878	121291
262	34008	121163
263	34114	120950
264	34245	120829
265	34351	120618
266	34452	120389
267	34548	120145
268	34639	119887
269	34741	119664
270	34830	119399
271	34932	119182
272	35235	119646
273	35351	119472
274	35458	119269
275	35560	119052
276	35651	118795
277	35756	118587
278	35850	118344
279	35951	118125
280	36069	117963
281	36176	117766
282	36304	117637
283	36420	117468
284	36532	117287
285	36663	117170
286	36785	117020
287	36896	116839
288	36996	116621
289	37108	116444
290	37210	116234
291	37301	115993
292	37384	115725
293	37490	115530
294	37579	115285
295	37688	115101
296	37778	114862
297	37901	114722
298	38005	114526
299	38110	114331
300	38224	114166
301	38321	113950
302	38423	113749
303	38516	113521
304	38610	113300
305	38702	113070
306	38790	112832
307	38885	112615
308	38976	112387
309	39067	112162
310	39153	111921
311	39268	111764
312	39361	111544
313	39461	111346
314	39561	111149
315	39663	110957
316	39762	110757
317	39861	110559
318	39953	110342
319	40043	110119
320	40146	109933
321	40348	110019
322	40627	110310
323	40746	110166
324	40845	109968
325	40984	109878
326	41128	109800
327	41246	109655
328	41333	109425
329	41435	109238
330	41527	109025
331	41618	108809
332	41718	108619
333	41861	108538
334	41988	108417
335	42088	108227
336	42238	108165
337	42356	108020
338	42485	107904
339	42580	107703
340	42671	107491
341	42804	107385
342	42940	107288
343	43050	107125
344	43148	106932
345	43250	106752
346	43349	106562
347	43453	106386
348	43569	106238
349	43663	106040
350	43809	105966
351	43941	105860
352	44068	105739
353	44161	105538
354	44326	105510
355	44463	105413
356	44589	105292
357	44688	105105
358	44788	104921
359	44887	104738
360	45033	104663
361	45156	104534
362	45259	104359
363	45350	104157
364	45440	103952
365	45562	103823
366	45742	103824
367	45838	103634
368	45928	103432
369	46011	103215
370	46103	103018
371	46190	102812
372	46275	102599
373	46356	102381
374	46449	102187
375	46545	102003
376	46637	101810
377	46788	101747
378	46926	101654
379	47036	101499
380	47144	101342
381	47274	101231
382	47415	101144
383	47551	101046
384	47669	100911
385	47833	100872
386	47962	100758
387	48086	100634
388	48182	100451
389	48286	100287
390	48390	100122
391	48482	99933
392	48574	99745
393	48669	99561
394	48763	99379
395	48887	99256
396	48992	99096
397	49100	98942
398	49210	98791
399	49305	98611
400	49398	98426
401	49490	98241
402	49598	98089
403	49707	97938
404	49799	97755
405	49909	97606
406	49997	97415
407	50108	97268
408	50227	97138
409	50331	96979
410	50428	96808
411	50523	96631
412	50610	96442
413	50698	96253
414	50798	96089
415	50918	95961
416	51023	95806
417	51108	95613
418	51192	95421
419	51279	95233
420	51374	95061
421	51457	94867
422	51555	94700
423	51650	94530
424	51743	94355
425	51852	94210
426	51973	94088
427	52088	93953
428	52195	93805
429	52312	93675
430	52417	93524
431	52519	93367
432	52624	93216
433	52737	93080
434	52840	92926
435	52940	92766
436	53048	92622
437	53153	92473
438	53269	92341
439	53357	92163
440	53457	92005
441	53562	91855
442	53660	91695
443	53764	91545
444	53859	91379
445	53949	91205
446	54053	91055
447	54165	90920
448	54272	90776
449	54365	90608
450	54464	90451
451	54568	90303
452	54670	90152
453	54762	89983
454	54874	89849
455	54974	89695
456	55068	89531
457	55224	89468
458	55434	89492
459	55566	89388
460	55673	89247
461	55775	89096
462	55877	88946
463	55976	88790
464	56082	88646
465	56193	88511
466	56329	88414
467	56429	88262
468	56520	88095
469	56619	87940
470	56720	87791
471	56822	87641
472	56942	87521
473	57060	87396
474	57176	87269
475	57298	87152
476	57392	86990
477	57475	86813
478	57553	86630
479	57637	86456
480	57722	86283
481	57805	86108
482	57890	85936
483	57969	85757
484	58057	85590
485	58138	85413
486	58233	85258
487	58349	85133
488	58447	84982
489	58546	84832
490	58631	84664
491	58714	84491
492	58802	84327
493	58903	84182
494	58995	84023
495	59080	83856
496	59170	83696
497	59264	83541
498	59369	83403
499	59458	83242
500	59538	83068
501	59622	82900
502	59704	82731
503	59794	82573
504	59885	82416
505	59973	82255
506	60066	82102
507	60165	81958
508	60264	81812
509	60352	81653
510	60479	81546
511	60580	81405
512	60700	81289
513	60861	81227
514	60992	81125
515	61093	80984
516	61213	80867
517	61336	80755
518	61441	80619
519	61559	80501
520	61675	80378
521	61794	80262
522	61898	80124
523	62007	79994
524	62114	79861
525	62223	79731
526	62323	79589
527	62428	79453
528	62542	79330
529	62643	79190
530	62739	79044
531	62831	78893
532	62932	78754
533	63020	78598
534	63106	78440
535	63192	78282
536	63279	78127
537	63372	77978
538	63466	77831
539	63554	77678
540	63654	77538
541	63740	77382
542	63845	77249
543	63941	77105
544	64066	76997
545	64163	76855
546	64258	76710
547	64352	76565
548	64435	76407
549	64521	76252
550	64605	76096
551	64704	75957
552	64800	75815
553	64891	75667
554	64985	75524
555	65070	75369
556	65152	75212
557	65254	75078
558	65353	74940
559	65447	74797
560	65536	74649
561	65626	74501
562	65730	74369
563	65815	74217
564	65895	74059
565	65982	73909
566	66070	73761
567	66157	73611
568	66257	73477
569	66340	73324
570	66422	73169
571	66509	73021
572	66598	72874
573	66685	72726
574	66789	72597
575	66883	72457
576	66980	72319
577	67064	72169
578	67146	72017
579	67232	71868
580	67321	71725
581	67413	71583
582	67503	71440
583	67591	71295
584	67672	71142
585	67765	71003
586	67860	70865
587	67945	70718
588	68032	70573
589	68118	70427
590	68210	70288
591	68303	70149
592	68387	70001
593	68472	69855
594	68555	69707
595	68636	69558
596	68731	69421
597	68830	69291
598	68916	69146
599	69005	69005
600	69097	68867
601	69199	68739
602	69301	68611
603	69388	68469
604	69475	68327
605	69567	68189
606	69654	68048
607	69745	67909
608	69829	67765
609	69934	67641
610	70028	67507
611	70112	67362
612	70191	67214
613	70275	67070
614	70359	66927
615	70444	66784
616	70529	66642
617	70615	66501
618	70698	66358
619	70784	66217
620	70878	66085
621	70973	65952
622	71059	65812
623	71137	65665
624	71221	65523
625	71315	65391
626	71398	65249
627	71479	65105
628	71568	64969
629	71648	64824
630	71739	64690
631	71830	64556
632	71917	64418
633	72022	64297
634	72111	64162
635	72198	64025
636	72285	63887
637	72357	63738
638	72435	63593
639	72523	63458
640	72613	63324
641	72700	63188
642	72798	63061
643	72886	62926
644	72973	62791
645	73078	62670
646	73167	62537
647	73252	62400
648	73340	62266
649	73429	62132
650	73518	61999
651	73600	61860
652	73683	61722
653	73766	61584
654	73849	61447
655	73940	61316
656	74047	61199
657	74135	61065
658	74221	60931
659	74322	60809
660	74417	60682
661	74500	60545
662	74592	60416
663	74678	60282
664	74768	60151
665	74851	60015
666	74939	59884
667	75038	59761
668	75137	59638
669	75233	59512
670	75321	59381
671	75403	59245
672	75493	59115
673	75582	58985
674	75666	58851
675	75747	58715
676	75838	58587
677	75920	58452
678	76009	58322
679	76115	58206
680	76202	58075
681	76291	57945
682	76373	57811
683	76459	57680
684	76546	57549
685	76636	57421
686	76727	57294
687	76814	57163
688	76897	57031
689	76986	56903
690	77075	56774
691	77163	56645
692	77254	56519
693	77343	56391
694	77439	56269
695	77536	56147
696	77625	56019
697	77715	55892
698	77802	55764
699	77891	55636
700	77977	55507
701	78068	55381
702	78154	55252
703	78253	55133
704	78344	55007
705	78430	54878
706	78519	54752
707	78604	54623
708	78688	54493
709	78788	54375
710	78885	54254
711	78973	54127
712	79060	54000
713	79146	53872
714	79235	53747
715	79344	53635
716	79432	53508
717	79520	53383
718	79611	53259
719	79700	53133
720	79782	53003
721	79870	52878
722	79957	52752
723	80043	52625
724	80143	52507
725	80234	52384
726	80338	52269
727	80418	52139
728	80496	52008
729	80584	51883
730	80670	51757
731	80752	51628
732	80843	51505
733	80932	51382
734	81020	51257
735	81110	51134
736	81196	51009
737	81280	50882
738	81378	50765
739	81471	50644
740	81566	50524
741	81658	50403
742	81748	50281
743	81831	50154
744	81918	50030
745	82007	49907
746	82097	49785
747	82181	49660
748	82264	49534
749	82360	49416
750	82465	49303
751	82556	49182
752	82642	49058
753	82731	48936
754	82825	48817
755	82907	48691
756	82997	48570
757	83088	48449
758	83173	48326
759	83264	48205
760	83354	48084
761	83437	47960
762	83534	47843
763	83624	47722
764	83713	47601
765	83796	47477
766	83880	47353
767	83968	47232
768	84061	47113
769	84151	46993
770	84236	46871
771	84324	46750
772	84406	46625
773	84488	46501
774	84620	46404
775	84709	46284
776	84793	46161
777	84880	46040
778	84967	45919
779	85069	45806
780	85154	45684
781	85286	45587
782	85406	45484
783	85508	45371
784	85634	45271
785	85727	45154
786	85809	45031
787	85898	44911
788	85986	44791
789	86078	44673
790	86188	44565
791	86301	44458
792	86396	44342
793	86482	44221
794	86563	44098
795	86671	43989
796	86753	43866
797	86843	43748
798	86939	43632
799	87017	43508
800	87099	43386
801	87188	43267
802	87274	43148
803	87374	43035
804	87472	42921
805	87563	42803
806	87663	42690
807	87761	42577
808	87851	42459
809	87935	42339
810	88017	42218
811	88117	42105
812	88201	41985
813	88287	41865
814	88374	41747
815	88462	41629
816	88556	41514
817	88645	41396
818	88732	41278
819	88816	41158
820	88900	41039
821	88991	40923
822	89078	40804
823	89175	40691
824	89259	40572
825	89345	40454
826	89439	40339
827	89522	40220
828	89611	40103
829	89705	39989
830	89806	39878
831	89904	39765
832	89995	39650
833	90090	39535
834	90175	39418
835	90271	39304
836	90359	39188
837	90445	39070
838	90530	38952
839	90610	38833
840	90700	38717
841	90786	38600
842	90887	38489
843	90968	38370
844	91054	38253
845	91150	38141
846	91237	38024
847	91322	37907
848	91416	37793
849	91498	37675
850	91592	37562
851	91687	37449
852	91775	37334
853	91865	37219
854	91957	37105
855	92051	36992
856	92152	36882
857	92246	36769
858	92332	36653
859	92426	36540
860	92512	36424
861	92603	36310
862	92691	36196
863	92774	36078
864	92852	35960
865	92951	35849
866	93035	35733
867	93122	35618
868	93207	35502
869	93285	35384
870	93370	35268
871	93461	35155
872	93540	35037
873	93624	34921
874	93706	34805
875	93786	34688
876	93879	34575
877	93967	34461
878	94053	34347
879	94137	34231
880	94221	34116
881	94317	34005
882	94401	33890
883	94484	33774
884	94570	33660
885	94658	33547
886	94744	33432
887	94845	33324
888	94939	33212
889	95041	33104
890	95133	32992
891	95218	32878
892	95299	32762
893	95388	32649
894	95469	32534
895	95550	32418
896	95640	32306
897	95724	32192
898	95805	32077
899	95887	31962
900	95970	31848
901	96065	31737
902	96158	31626
903	96245	31514
904	96329	31400
905	96408	31284
906	96500	31173
907	96583	31059
908	96671	30947
909	96754	30834
910	96836	30719
911	96932	30610
912	97027	30500
913	97176	30407
914	97312	30310
915	97428	30206
916	97528	30098
917	97611	29985
918	97697	29872
919	97789	29762
920	97914	29661
921	98028	29557
922	98114	29444
923	98218	29338
924	98328	29232
925	98424	29123
926	98521	29014
927	98613	28904
928	98711	28795
929	98800	28683
930	98897	28575
931	99044	28480
932	99192	28386
933	99324	28287
934	99424	28179
935	99523	28070
936	99626	27963
937	99721	27853
938	99816	27744
939	99941	27643
940	100071	27543
941	100191	27440
942	100303	27336
943	100400	27227
944	100503	27119
945	100652	27024
946	100774	26922
947	100877	26815
948	100977	26707
949	101122	26611
950	101256	26511
951	101367	26406
952	101462	26297
953	101564	26189
954	101653	26078
955	101750	25969
956	101838	25858
957	101928	25748
958	102040	25643
959	102148	25537
960	102236	25426
961	102324	25315
962	102427	25208
963	102523	25099
964	102632	24993
965	102747	24889
966	102867	24786
967	102990	24683
968	103137	24586
969	103265	24485
970	103388	24383
971	103527	24284
972	103629	24176
973	103726	24068
974	103827	23960
975	103924	23851
976	104017	23742
977	104123	23635
978	104218	23526
979	104316	23417
980	104407	23308
981	104511	23201
982	104607	23092
983	104703	22983
984	104803	22875
985	104897	22766
986	104989	22657
987	105112	22554
988	105226	22449
989	105321	22340
990	105413	22231
991	105502	22121
992	105612	22015
993	105705	21906
994	105795	21797
995	105889	21688
996	105979	21578
997	106085	21472
998	106200	21367
999	106318	21263
1000	106403	21153
1001	106499	21044
1002	106596	20936
1003	106696	20829
1004	106796	20721
1005	106883	20611
1006	106976	20502
1007	107076	20395
1008	107194	20291
1009	107317	20188
1010	107411	20079
1011	107516	19973
1012	107622	19867
1013	107728	19760
1014	107835	19654
1015	107935	19547
1016	108035	19440
1017	108143	19334
1018	108262	19230
1019	108379	19125
1020	108477	19018
1021	108589	18912
1022	108679	18803
1023	108802	18700
1024	108899	18592
1025	108992	18484
1026	109086	18375
1027	109196	18270
1028	109322	18167
1029	109437	18062
1030	109535	17954
1031	109628	17846
1032	109724	17738
1033	109826	17631
1034	109921	17523
1035	110018	17416
1036	110117	17308
1037	110252	17207
1038	110369	17102
1039	110476	16996
1040	110584	16890
1041	110683	16783
1042	110791	16677
1043	110910	16572
1044	111015	16466
1045	111234	16376
1046	111402	16279
1047	111514	16173
1048	111642	16070
1049	111759	15965
1050	111868	15859
1051	112004	15757
1052	112114	15651
1053	112218	15544
1054	112319	15437
1055	112413	15329
1056	112508	15221
1057	112620	15115
1058	112719	15007
1059	112817	14900
1060	112911	14792
1061	113036	14688
1062	113132	14580
1063	113229	14472
1064	113330	14365
1065	113427	14258
1066	113525	14150
1067	113622	14043
1068	113716	13935
1069	113817	13828
1070	113917	13721
1071	114017	13614
1072	114129	13508
1073	114231	13401
1074	114340	13295
1075	114446	13188
1076	114544	13081
1077	114639	12974
1078	114733	12866
1079	114836	12759
1080	114927	12651
1081	115021	12543
1082	115135	12438
1083	115230	12330
1084	115333	12224
1085	115438	12117
1086	115532	12010
1087	115629	11903
1088	115732	11796
1089	115831	11689
1090	115922	11581
1091	116016	11474
1092	116115	11367
1093	116220	11260
1094	116323	11154
1095	116417	11046
1096	116511	10939
1097	116608	10832
1098	116709	10725
1099	116814	10619
1100	116914	10512
1101	117008	10405
1102	117127	10300
1103	117266	10197
1104	117392	10092
1105	117500	9986
1106	117603	9880
1107	117698	9772
1108	117791	9665
1109	117885	9558
1110	117974	9450
1111	118074	9344
1112	118166	9236
1113	118271	9130
1114	118368	9023
1115	118463	8916
1116	118555	8809
1117	118647	8702
1118	118741	8595
1119	118831	8487
1120	118922	8380
1121	119020	8274
1122	119118	8167
1123	119212	8060
1124	119315	7954
1125	119414	7847
1126	119507	7740
1127	119604	7634
1128	119697	7527
1129	119792	7420
1130	119896	7314
1131	119991	7207
1132	120078	7100
1133	120169	6993
1134	120252	6886
1135	120346	6780
1136	120435	6673
1137	120513	6565
1138	120607	6459
1139	120688	6352
1140	120777	6245
1141	120872	6138
1142	120954	6031
1143	121036	5924
1144	121127	5818
1145	121215	5711
1146	121300	5605
1147	121408	5499
1148	121490	5392
1149	121579	5286
1150	121662	5179
1151	121743	5072
1152	121831	4966
1153	121915	4859
1154	121993	4752
1155	122084	4646
1156	122169	4540
1157	122248	4433
1158	122339	4327
1159	122421	4221
1160	122513	4115
1161	122598	4009
1162	122683	3903
1163	122761	3796
1164	122842	3690
1165	122931	3584
1166	123016	3478
1167	123101	3372
1168	123184	3266
1169	123272	3160
1170	123362	3055
1171	123440	2949
1172	123532	2843
1173	123615	2737
1174	123698	2631
1175	123792	2526
1176	123882	2420
1177	123967	2315
1178	124052	2209
1179	124137	2104
1180	124224	1998
1181	124304	1892
1182	124391	1787
1183	124475	1682
1184	124570	1576
1185	124665	1471
1186	124750	1366
1187	124840	1261
1188	124927	1155
1189	125009	1050
1190	125110	945
1191	125201	840
1192	125288	735
1193	125381	630
1194	125470	524
1195	125568	419
1196	125672	314
1197	125765	209
1198	125849	104
1199	125939	0
