iter	Accuracy	Logloss
525	0.8945	0.3103325289
526	0.895	0.310105204
527	0.8954	0.3099061565
528	0.895	0.3097193713
529	0.8958	0.3093300788
530	0.8962	0.3091750241
531	0.8966	0.3089225258
532	0.897	0.308529918
533	0.8971	0.3083708104
534	0.8972	0.308257524
535	0.8976	0.3079970363
536	0.8973	0.3076573545
537	0.8973	0.3073674573
538	0.8975	0.3071819698
539	0.8975	0.3070078315
540	0.8979	0.3067458127
541	0.898	0.3061860214
542	0.8983	0.3060148007
543	0.8983	0.3057185362
544	0.8984	0.305584452
545	0.8989	0.3050664195
546	0.8997	0.3046791813
547	0.8993	0.3045517459
548	0.8997	0.3041419031
549	0.8998	0.303998945
550	0.9001	0.3037344238
551	0.9003	0.3036201102
552	0.9005	0.3034279479
553	0.9007	0.3030878885
554	0.9015	0.302674373
555	0.9019	0.3024670824
556	0.902	0.3023600449
557	0.9023	0.3020911993
558	0.9025	0.301995353
559	0.9024	0.301855801
560	0.9023	0.3018174501
561	0.9023	0.3016509516
562	0.9026	0.3015278353
563	0.9024	0.3013877262
564	0.9032	0.3012580345
565	0.9031	0.3009877451
566	0.9033	0.3007936294
567	0.9035	0.3004353121
568	0.904	0.3000811211
569	0.9041	0.2996699295
570	0.9045	0.2995469662
571	0.9048	0.2993539337
572	0.9052	0.2990521966
573	0.9053	0.2987634737
574	0.9058	0.298495477
575	0.9055	0.2981406761
576	0.9065	0.2976688339
577	0.9071	0.2973434829
578	0.907	0.297064855
579	0.9077	0.2967625044
580	0.9081	0.2964615187
581	0.9079	0.2963056299
582	0.9083	0.2957855274
583	0.9083	0.2956877543
584	0.9082	0.2955935648
585	0.9084	0.2952349129
586	0.9089	0.2948529114
587	0.909	0.2947168599
588	0.9089	0.2945471497
589	0.9092	0.2939264295
590	0.9092	0.2936288989
591	0.9095	0.2935675326
592	0.9095	0.2933263254
593	0.9098	0.292901765
594	0.91	0.2927038467
595	0.9099	0.2923973966
596	0.9103	0.2921424996
597	0.9103	0.2920364524
598	0.9105	0.291800542
599	0.9107	0.2916230767
600	0.911	0.2915057304
601	0.9109	0.2913019571
602	0.9109	0.2910792404
603	0.9115	0.2907286167
